date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h,bnw_percap_iv,bnw_percap_y,bnw_cpih_inf_an
1981.2,106,0.569449781,-11.66301101,-3.831819674,0.108460962,-7.736641197,-5.416541117,-3.661071791,0.082539038
1981.3,107,0.583607126,-11.81552045,-3.835228676,0.048823104,-7.739631952,-5.359742817,-3.65091989,0.109876896
1981.4,108,0.573660568,-11.78165262,-3.836929526,0.059194033,-7.746365348,-5.402712082,-3.672070444,0.064505967
1982.1,109,0.569183209,-11.88383686,-3.836746599,0.111407803,-7.765787115,-5.515629455,-3.697735194,0.035392197
1982.2,110,0.579432833,-11.92243833,-3.835555138,0.084126268,-7.766345979,-5.519544374,-3.695082412,0.057373732
1982.3,111,0.57805141,-11.84851144,-3.830528543,0.034227775,-7.775643727,-5.534275374,-3.704090253,0.068872225
1982.4,112,0.578593255,-11.69939628,-3.818740616,0.07722796,-7.787832239,-5.630464861,-3.706708015,0.01227204
1983.1,113,0.572858371,-11.61875273,-3.8110466,0.084977986,-7.785214411,-5.598128063,-3.694744011,0.002722014
1983.2,114,0.574924683,-11.53841256,-3.80124959,0.043806933,-7.777764806,-5.508651263,-3.669731036,0.045993067
1983.3,115,0.566638361,-11.56314993,-3.789565692,0.055684236,-7.760753912,-5.446387379,-3.648651295,0.038815764
1983.4,116,0.565490354,-11.58284639,-3.781764079,0.054938241,-7.747753955,-5.349146376,-3.627124552,0.039761759
1984.1,117,0.569378095,-11.63656416,-3.781662453,0.042788708,-7.732645388,-5.253778822,-3.607674632,0.056311292
1984.2,118,0.58280514,-11.68690905,-3.772158046,0.073065345,-7.722473111,-5.223120936,-3.589036049,0.037534655
1984.3,119,0.592415061,-11.6172558,-3.765242546,0.078367749,-7.720328072,-5.202877812,-3.582014473,0.034632251
1984.4,120,0.60140557,-11.62203589,-3.757941956,0.049465025,-7.717675932,-5.222417614,-3.576781809,0.034334975
1985.1,121,0.615551244,-11.55618655,-3.74544149,0.049247044,-7.712214804,-5.25813963,-3.567715929,0.036552956
1985.2,122,0.6186696,-11.50753061,-3.73913818,0.039078051,-7.709413075,-5.243463799,-3.56092761,0.036221949
1985.3,123,0.633678973,-11.56861696,-3.729822897,0.054409093,-7.710732005,-5.257103849,-3.545540735,0.024790907
1985.4,124,0.635236843,-11.43297317,-3.724516728,0.04212796,-7.709924513,-5.22174925,-3.540843605,0.04057204
1986.1,125,0.642326695,-11.32022943,-3.723512762,0.054058761,-7.714519763,-5.228753734,-3.535252114,0.020741239
1986.2,126,0.644119574,-11.26933039,-3.719744932,0.088718185,-7.719578285,-5.253956107,-3.534266293,-0.019518185
1986.3,127,0.648511677,-11.35929131,-3.716165994,0.034517114,-7.717049528,-5.288608098,-3.526576939,0.024382886
1986.4,128,0.64348891,-11.32334255,-3.709093564,0.041242204,-7.712622723,-5.29000058,-3.525212923,0.027857796
1987.1,129,0.634361392,-11.15275498,-3.703676936,0.013309022,-7.704647687,-5.263445597,-3.523452872,0.047990978
1987.2,130,0.638694406,-11.12560147,-3.697610251,0.022235782,-7.70133219,-5.264949213,-3.514119822,0.045064218
1987.3,131,0.633793637,-11.0818403,-3.693853117,0.029970869,-7.697753582,-5.266567302,-3.509342037,0.042229131
1987.4,132,0.637035022,-11.35790441,-3.68852523,0.030533647,-7.690081051,-5.193900245,-3.492833992,0.037166353
1988.1,133,0.636026403,-11.32170989,-3.679612898,0.034707286,-7.692137259,-5.254643139,-3.491827364,0.031092714
1988.2,134,0.639751296,-11.28050867,-3.673473615,0.029476466,-7.680719222,-5.232874015,-3.478626995,0.045623534
1988.3,135,0.643419094,-11.30090003,-3.664383955,0.033428222,-7.681237354,-5.228936848,-3.476753712,0.048471778
1988.4,136,0.649085534,-11.29285475,-3.657220952,0.044139481,-7.671939668,-5.218031086,-3.465040529,0.043460519
1989.1,137,0.649971247,-11.24702947,-3.655053984,0.053314232,-7.665371364,-5.18318984,-3.457832054,0.045185768
1989.2,138,0.6476187,-11.18979019,-3.654095266,0.031159476,-7.66491331,-5.197144403,-3.4526672,0.064140524
